Cust_name,Product_ID,condition,Gender,Age Group,Age,Marital_Status,State,Zone,Occupation,Product_Category,Status,Orders,Amount,unnamed1,,User_ID
Grant,P00101742,,F,26-35,30,0,Andhra Pradesh,Southern,IT Sector,Auto,,1,23518,,,1005256
Gilcrest,P00271842,,F,51-55,53,0,Uttar Pradesh,Central,Automobile,Auto,,2,23515,,,1001505
Skaria,P00317842,,M,55+,83,0,Karnataka,Southern,Automobile,Auto,,3,23513,,,1000900
Eric,P00282642,,F,26-35,33,0,Andhra Pradesh,Southern,IT Sector,Auto,,3,23462,,,1005908
Gibson,P00234742,,F,36-45,40,0,Uttar Pradesh,Central,Banking,Auto,,3,23456,,,1001101
Mahima,P00058042,,F,18-25,25,1,Andhra Pradesh,Southern,Banking,Auto,,4,23451,,,1004736
Etezadi,P00190542,,M,51-55,54,1,Andhra Pradesh,Southern,Govt,Hand & Power Tools,,2,23434,,,1004037
James,P00119642,,F,36-45,39,1,Andhra Pradesh,Southern,Aviation,Auto,,3,23389,,,1002340
Dean,P00111642,,F,18-25,20,0,Andhra Pradesh,Southern,Aviation,Auto,,2,23365,,,1005664
Aman,P00293342,,F,26-35,32,1,Andhra Pradesh,Southern,Food Processing,Auto,,3,23326,,,1002523
Mousam,P00220042,,F,36-45,36,0,Andhra Pradesh,Southern,Automobile,Auto,,2,23314,,,1002503
Damala,P00346242,,F,26-35,35,1,Maharashtra,Western,Media,Auto,,2,23306,,,1002638
Daniels,P00080042,,F,51-55,55,1,Andhra Pradesh,Southern,Healthcare,Auto,,4,23302,,,1004505
Inderpreet,P00111842,,M,26-35,27,1,Jharkhand,Eastern,Govt,Auto,,1,23285,,,1004957
Sweta,P00238542,,M,18-25,20,1,Delhi,Central,Media,Auto,,1,23281,,,1005649
Phonely,P00048742,,F,26-35,32,0,Andhra Pradesh,Southern,Aviation,Auto,,1,23270,,,1004508
Mike,P00310342,,M,55+,72,1,Himachal Pradesh,Northern,Media,Auto,,4,23267,,,1002520
Dean,P00249542,,F,18-25,25,1,Andhra Pradesh,Southern,Banking,Auto,,4,23252,,,1003111
Neola,P00156442,,M,26-35,35,0,Kerala,Southern,Aviation,Auto,,1,23247,,,1000687
Trupti,P00144242,,M,26-35,30,1,Uttar Pradesh,Central,Banking,Hand & Power Tools,,2,23246,,,1003267
Zypern,P00122442,,M,0-17,16,0,Andhra Pradesh,Southern,Food Processing,Auto,,4,23239,,,1001182
Ellison,P0096942,,F,36-45,40,0,Andhra Pradesh,Southern,Aviation,Auto,,2,23201,,,1005383
Jane,P00201442,,F,26-35,35,1,Andhra Pradesh,Southern,Aviation,Auto,,2,23185,,,1004303
Stewart,P00036242,,M,36-45,45,1,Andhra Pradesh,Southern,Agriculture,Hand & Power Tools,,3,23160,,,1005493
Breyer,P00113942,,F,26-35,28,0,Andhra Pradesh,Southern,Banking,Auto,,1,23154,,,1000728
Jesslyn,P00121642,,M,26-35,32,1,Delhi,Central,Construction,Auto,,3,23103,,,1002966
Abhijit,P00105042,,F,26-35,32,0,Andhra Pradesh,Southern,Retail,Auto,,4,23066,,,1001726
Vineet,P00141842,,F,51-55,53,0,Andhra Pradesh,Southern,IT Sector,Auto,,2,23053,,,1001404
Elizabeth,P00115342,,F,36-45,43,1,Andhra Pradesh,Southern,IT Sector,Auto,,3,23047,,,1005267
Shivani,P00220042,,M,26-35,29,0,Haryana,Northern,IT Sector,Stationery,,2,21563,,,1003745
Eugene,P00339042,,F,46-50,47,0,Delhi,Central,Textile,Stationery,,1,21547,,,1001884
Ishit,P00000642,,F,26-35,35,0,Delhi,Central,Lawyer,Stationery,,1,21533,,,1001804
Schwarz,P00302742,,F,18-25,22,1,Delhi,Central,Media,Stationery,,1,21503,,,1005359
Sujay,P00150342,,M,26-35,34,1,Karnataka,Southern,IT Sector,Stationery,,2,21495,,,1000151
Smriti,P00261542,,F,26-35,33,1,Delhi,Central,Agriculture,Stationery,,3,21463,,,1001389
Champaklata,P00261842,,F,36-45,36,0,Delhi,Central,IT Sector,Stationery,,4,21427,,,1002665
Patil,P00114042,,F,51-55,52,0,Delhi,Central,IT Sector,Stationery,,4,21423,,,1002496
Atharv,P00145042,,M,18-25,18,1,Delhi,Central,Construction,Stationery,,2,21401,,,1001442
Thais,P00121642,,M,36-45,39,0,Maharashtra,Western,Healthcare,Stationery,,3,21397,,,1000379
Surabhi,P00003242,,M,26-35,34,1,Delhi,Central,Agriculture,Stationery,,4,21388,,,1003916
Bruce,P00265242,,F,26-35,33,0,Maharashtra,Western,Govt,Stationery,,4,21325,,,1001687
Saurabh,P00046742,,M,18-25,21,0,Delhi,Central,Automobile,Stationery,,2,21320,,,1000423
Vaibhavi,P00220342,,F,36-45,38,1,Delhi,Central,Aviation,Stationery,,2,21317,,,1002395
Larry,P00037042,,F,26-35,28,0,Delhi,Central,IT Sector,Stationery,,4,21293,,,1004728
Parhena,P0096542,,F,36-45,37,0,Delhi,Central,Hospitality,Stationery,,1,21266,,,1005054
Pete,P00216742,,M,18-25,20,0,Delhi,Central,Construction,Stationery,,1,21259,,,1004489
Cyra,P00213742,,M,18-25,23,1,Kerala,Southern,Media,Stationery,,2,21246,,,1001865
Rozendal,P00130742,,F,26-35,34,0,Delhi,Central,Banking,Stationery,,4,21218,,,1003022
Jack,P00248442,,M,46-50,49,0,Andhra Pradesh,Southern,Govt,Stationery,,2,21178,,,1001657
Victor,P00129542,,M,36-45,38,1,Karnataka,Southern,Media,Stationery,,1,21178,,,1003751
Debra,P00261642,,F,26-35,30,0,Delhi,Central,Aviation,Stationery,,4,21152,,,1000179
Bhosale,P00182542,,F,18-25,25,0,Madhya Pradesh,Central,IT Sector,Tupperware,,2,21079,,,1000438
Keshav,P00248942,,M,18-25,19,1,Maharashtra,Western,Media,Tupperware,,1,21058,,,1003618
Arsheen,P00152742,,M,36-45,42,0,Delhi,Central,Hospitality,Stationery,,1,21039,,,1003415
Kaydos,P00302342,,F,36-45,38,1,Gujarat,Western,Media,Tupperware,,3,21013,,,1002485
Fjeld,P00064042,,F,18-25,21,1,Delhi,Central,IT Sector,Stationery,,4,21009,,,1001495
Turumella,P00173342,,M,26-35,35,0,Delhi,Central,Govt,Stationery,,4,20981,,,1004607
Vernon,P00278642,,F,18-25,24,1,Kerala,Southern,Govt,Tupperware,,4,20967,,,1005316
Connell,P00142942,,M,51-55,52,1,Himachal Pradesh,Northern,Healthcare,Stationery,,2,20965,,,1000461
Shami,P00306042,,F,51-55,53,1,Karnataka,Southern,Textile,Footwear & Shoes,,4,20965,,,1000154
Flanagan,P00114342,,F,36-45,37,1,Uttar Pradesh,Central,Lawyer,Footwear & Shoes,,2,20963,,,1000749
Pond,P00271242,,F,26-35,28,1,Delhi,Central,IT Sector,Footwear & Shoes,,1,20960,,,1006040
O'Brian,P00157142,,M,46-50,50,0,Karnataka,Southern,Banking,Footwear & Shoes,,3,20960,,,1001284
Namrata,P00345242,,F,36-45,40,0,Delhi,Central,Lawyer,Footwear & Shoes,,1,20959,,,1004269
Haushalter,P00067942,,F,26-35,35,1,Madhya Pradesh,Central,Chemical,Footwear & Shoes,,1,20955,,,1001496
Maurice,P00191942,,F,36-45,45,0,Delhi,Central,Banking,Stationery,,4,20951.5,,,1003007
Snel,P00217442,,F,26-35,35,0,Delhi,Central,Food Processing,Footwear & Shoes,,3,20950,,,1004715
Patrick,P00303242,,F,18-25,18,0,Maharashtra,Western,Aviation,Tupperware,,3,20949,,,1000306
Sung,P00240042,,M,18-25,22,0,Delhi,Central,Automobile,Footwear & Shoes,,3,20948,,,1000855
Mahima,P00084842,,F,36-45,43,1,Delhi,Central,Aviation,Footwear & Shoes,,4,20945,,,1001183
Charlotte,P00156242,,F,46-50,48,1,Karnataka,Southern,Automobile,Footwear & Shoes,,2,20944,,,1005954
Anubhaw,P00123142,,M,26-35,28,0,Delhi,Central,IT Sector,Stationery,,1,20943,,,1005627
Black,P00260442,,F,26-35,31,1,Delhi,Central,IT Sector,Footwear & Shoes,,1,20938,,,1002165
Airdo,P00213742,,F,18-25,23,0,Uttar Pradesh,Central,Construction,Footwear & Shoes,,2,20933,,,1004416
Bhawna,P00319942,,F,36-45,44,0,Uttar Pradesh,Central,Lawyer,Footwear & Shoes,,3,20932,,,1000850
Corey-Lock,P00255842,,F,26-35,34,0,Andhra Pradesh,Southern,Automobile,Tupperware,,2,20930,,,1002888
Akin,P00192542,,F,46-50,46,0,Uttar Pradesh,Central,Chemical,Footwear & Shoes,,1,20929,,,1001891
Neil,P00259142,,F,36-45,43,1,Delhi,Central,Govt,Footwear & Shoes,,2,20928,,,1001019
Lisha,P00084242,,M,18-25,21,1,Jharkhand,Eastern,Textile,Footwear & Shoes,,3,20925,,,1002306
Amlan,P00208742,,M,51-55,54,0,Delhi,Central,IT Sector,Footwear & Shoes,,3,20920,,,1001179
Inderpreet,P00163442,,F,26-35,34,1,Delhi,Central,Healthcare,Footwear & Shoes,,1,20914,,,1004957
Fisher,P00284742,,F,36-45,44,1,Uttar Pradesh,Central,Agriculture,Footwear & Shoes,,2,20914,,,1004079
Linda,P00369042,,F,26-35,29,0,Karnataka,Southern,Retail,Footwear & Shoes,,3,20912,,,1002124
Aryan,P00075542,,F,36-45,38,0,Karnataka,Southern,Healthcare,Footwear & Shoes,,4,20912,,,1004335
Kajal,P00216042,,F,51-55,55,0,Delhi,Central,Hospitality,Footwear & Shoes,,2,20908,,,1000280
Neola,P00142742,,F,26-35,26,1,Karnataka,Southern,Hospitality,Footwear & Shoes,,1,20908,,,1003311
Murray,P00345642,,F,46-50,46,0,Karnataka,Southern,Retail,Footwear & Shoes,,4,20906,,,1004161
Sakshi,P00296242,,F,46-50,48,1,Delhi,Central,Banking,Footwear & Shoes,,1,,,,1005265
Bhishm,P00315842,,M,36-45,38,0,Uttar Pradesh,Central,Food Processing,Footwear & Shoes,,3,20900,,,1004285
Apoorva,P00057942,,F,36-45,41,1,Delhi,Central,IT Sector,Footwear & Shoes,,2,,,,1005261
Sukruta,P00114042,,F,46-50,47,0,Delhi,Central,Retail,Footwear & Shoes,,1,20896,,,1000445
Arti,P00184942,,F,26-35,35,0,Uttar Pradesh,Central,Food Processing,Stationery,,1,20883,,,1003265
Akshay,P00178242,,F,26-35,31,1,Delhi,Central,Textile,Footwear & Shoes,,4,20875,,,1003396
Swati,P00124642,,F,26-35,26,1,Delhi,Central,IT Sector,Footwear & Shoes,,2,20874,,,1002380
Mathew,P00114142,,F,36-45,41,0,Karnataka,Southern,IT Sector,Footwear & Shoes,,1,20874,,,1002059
Kushal,P00108942,,F,36-45,42,0,Delhi,Central,IT Sector,Footwear & Shoes,,1,20873,,,1001335
Luxemburg,P00062842,,F,46-50,49,0,Delhi,Central,Lawyer,Footwear & Shoes,,3,20870,,,1004838
Bharat,P00289942,,F,36-45,44,0,Delhi,Central,Chemical,Stationery,,2,20867,,,1001015
Sharda,P00113542,,F,26-35,31,0,Karnataka,Southern,IT Sector,Footwear & Shoes,,2,20865,,,1000549
Steele,P00294542,,M,26-35,31,1,Jharkhand,Eastern,IT Sector,Footwear & Shoes,,3,20863,,,1001954
Hazel,P00087442,,F,26-35,27,0,Bihar,Eastern,Automobile,Tupperware,,3,20860,,,1001912
Shariari,P00334242,,F,26-35,32,0,Karnataka,Southern,Retail,Footwear & Shoes,,3,20855,,,1003918
Brittain,P00117142,,M,55+,66,0,Uttar Pradesh,Central,Govt,Footwear & Shoes,,2,20853,,,1001896
Shiva,P00184042,,F,26-35,28,0,Delhi,Central,Aviation,Stationery,,4,20852,,,1002445
Noah,P00368342,,F,51-55,52,0,Karnataka,Southern,Aviation,Footwear & Shoes,,4,20850,,,1002279
Kotsonis,P00309242,,F,18-25,19,0,Madhya Pradesh,Central,Healthcare,Footwear & Shoes,,4,20847,,,1002898
Sanjay,P00315442,,F,36-45,45,1,Delhi,Central,Construction,Footwear & Shoes,,2,20840,,,1004277
Alejandro,P00101342,,M,51-55,53,1,Maharashtra,Western,Aviation,Footwear & Shoes,,4,20837,,,1003576
Devendra,P00232442,,F,36-45,36,0,Delhi,Central,Aviation,Footwear & Shoes,,2,20833,,,1003724
Sujay,P00033742,,F,36-45,41,1,Delhi,Central,Banking,Footwear & Shoes,,4,20819,,,1003384
Moren,P00288342,,F,18-25,22,0,Uttar Pradesh,Central,Govt,Tupperware,,1,20816,,,1003051
Neola,P00228142,,F,26-35,30,1,Karnataka,Southern,Hospitality,Footwear & Shoes,,3,20815,,,1003311
Philippe,P00114942,,M,46-50,46,1,Karnataka,Southern,Hospitality,Footwear & Shoes,,1,20815,,,1004782
Patterson,P00232242,,F,46-50,47,0,Delhi,Central,IT Sector,Footwear & Shoes,,4,20812,,,1003998
George,P00034742,,F,26-35,29,0,Karnataka,Southern,Healthcare,Footwear & Shoes,,2,20807,,,1000284
Rohan,P00278042,,F,26-35,28,0,Delhi,Central,Banking,Footwear & Shoes,,2,20805.45,,,1000509
Divyeshkumar,P00363542,,M,51-55,53,1,Gujarat,Western,Hospitality,Footwear & Shoes,,4,20796,,,1000838
Divyeshkumar,P00363542,,M,51-55,53,1,Rajasthan,Northern,Hospitality,Footwear & Shoes,,2,20796,,,1000838
Lynn,P00351042,,M,0-17,15,0,Bihar,Eastern,Healthcare,Footwear & Shoes,,4,20788,,,1002060
Bhawna,P00324342,,M,36-45,40,1,Karnataka,Southern,IT Sector,Footwear & Shoes,,3,20783,,,1000850
Mitch,P00179742,,F,26-35,35,1,Delhi,Central,Automobile,Footwear & Shoes,,1,20770,,,1005522
Ivan,P00190242,,F,26-35,33,1,Karnataka,Southern,IT Sector,Footwear & Shoes,,4,20767,,,1005153
Avila,P00161442,,F,36-45,40,0,Karnataka,Southern,Aviation,Footwear & Shoes,,1,20767,,,1002122
Ben,P00248142,,F,51-55,52,0,Madhya Pradesh,Central,IT Sector,Tupperware,,2,20757,,,1000984
Amlan,P00209842,,F,26-35,27,1,Delhi,Central,Aviation,Footwear & Shoes,,2,20752,,,1005220
Diwakar,P00205442,,F,36-45,45,0,Delhi,Central,IT Sector,Footwear & Shoes,,2,20752,,,1001202
Sharelle,P00183142,,F,46-50,48,0,Karnataka,Southern,Aviation,Footwear & Shoes,,4,20751,,,1006014
Amisha,P00177842,,F,36-45,38,0,Uttar Pradesh,Central,Media,Footwear & Shoes,,4,20751,,,1005111
William,P00059242,,F,26-35,33,1,Karnataka,Southern,IT Sector,Footwear & Shoes,,3,20745,,,1004227
Foulston,P00248942,,F,46-50,47,1,Uttar Pradesh,Central,Banking,Footwear & Shoes,,4,20745,,,1001331
Ferrer,P00112842,,F,36-45,40,1,Uttar Pradesh,Central,Media,Footwear & Shoes,,2,20744,,,1004937
Muskan,P00085242,,M,46-50,47,0,Haryana,Northern,Automobile,Tupperware,,1,20739,,,1005600
Stuart,P00127842,,M,36-45,44,1,Karnataka,Southern,IT Sector,Footwear & Shoes,,2,20739,,,1000791
Beth,P00242742,,F,46-50,46,0,Madhya Pradesh,Central,Aviation,Footwear & Shoes,,2,20729,,,1003888
Sauptik,P00183742,,F,46-50,50,0,Delhi,Central,Aviation,Footwear & Shoes,,4,20714,,,1006016
Pistek,P00304642,,F,46-50,49,0,Karnataka,Southern,Healthcare,Footwear & Shoes,,4,20712,,,1000604
Muhammed,P00057642,,F,26-35,29,1,Uttar Pradesh,Central,Banking,Tupperware,,1,20707,,,1000173
Piyam,P00032042,,F,51-55,53,0,Karnataka,Southern,Healthcare,Footwear & Shoes,,1,20705,,,1004284
Hemant,P00000142,,F,36-45,42,0,Madhya Pradesh,Central,IT Sector,Footwear & Shoes,,2,20691,,,1002994
Dowd,P00123842,,M,51-55,51,1,Uttar Pradesh,Central,Aviation,Furniture,,3,20689,,,1004016
Bixby,P00130642,,F,26-35,26,1,Karnataka,Southern,Banking,Footwear & Shoes,,2,20688,,,1005788
Brandow,P00146342,,M,26-35,30,0,Maharashtra,Western,Media,Footwear & Shoes,,4,20678,,,1001184
Howell,P00120442,,F,26-35,33,1,Karnataka,Southern,Aviation,Footwear & Shoes,,4,20677,,,1000053
Ananya,P00148642,,M,26-35,34,0,Kerala,Southern,Chemical,Furniture,,1,20677,,,1002511
Sibella,P00298942,,M,26-35,26,0,Karnataka,Southern,Retail,Footwear & Shoes,,3,20676,,,1004377
Wale,P00277642,,F,46-50,46,0,Maharashtra,Western,Govt,Furniture,,1,20673,,,1005481
Kritika,P00159442,,F,36-45,36,1,Karnataka,Southern,Automobile,Footwear & Shoes,,1,20669,,,1003940
Neola,P00344542,,M,26-35,26,0,Delhi,Central,Chemical,Tupperware,,4,20668,,,1000687
Parth,P00021842,,F,46-50,50,1,Delhi,Central,Lawyer,Footwear & Shoes,,1,20668,,,1000889
Brooke,P00322142,,M,26-35,32,0,Maharashtra,Western,Food Processing,Furniture,,2,20666,,,1000167
Barcio,P00249542,,F,36-45,38,0,Karnataka,Southern,Banking,Footwear & Shoes,,3,20665,,,1004972
Pelletier,P00223642,,F,36-45,41,1,Karnataka,Southern,Retail,Footwear & Shoes,,1,20664,,,1003094
Michelle,P00117842,,F,36-45,43,0,Karnataka,Southern,Automobile,Footwear & Shoes,,3,20661,,,1000157
Bharat,P00109842,,M,36-45,40,0,Delhi,Central,Food Processing,Footwear & Shoes,,3,20660,,,1001015
Divyansh,P00059442,,F,26-35,26,1,Delhi,Central,IT Sector,Footwear & Shoes,,2,20659,,,1003468
Raglin,P00337442,,F,36-45,36,1,Delhi,Central,Media,Footwear & Shoes,,1,20659,,,1002251
Kajal,P00122442,,F,46-50,50,0,Karnataka,Southern,IT Sector,Tupperware,,1,20659,,,1005014
Natalie,P00267542,,F,26-35,32,0,Delhi,Central,IT Sector,Footwear & Shoes,,4,20657,,,1003085
Mrunal,P00190242,,F,46-50,47,1,Delhi,Central,Hospitality,Footwear & Shoes,,3,20654,,,1004112
Nikita,P00356842,,F,51-55,51,0,Maharashtra,Western,Media,Tupperware,,2,20644,,,1002592
Siddharth,P00349142,,F,36-45,36,0,Uttar Pradesh,Central,Construction,Footwear & Shoes,,1,20642,,,1001298
Cindy,P00359242,,M,36-45,42,1,Uttar Pradesh,Central,IT Sector,Footwear & Shoes,,4,20641,,,1002537
Kartik,P00269542,,F,46-50,49,1,Karnataka,Southern,Banking,,,1,,,,1005538
Savi,P00016542,,F,26-35,32,1,Uttar Pradesh,Central,Retail,Footwear & Shoes,,1,20628,,,1000971
Yaanvi,P00334242,,M,46-50,48,0,Delhi,Central,IT Sector,Tupperware,,1,20627,,,1001103
Kalyani,P00218642,,F,26-35,32,0,Uttarakhand,Central,Food Processing,Furniture,,1,20623,,,1003081
McCrossin,P00110942,,M,36-45,41,0,Himachal Pradesh,Northern,Banking,Furniture,,4,20622,,,1002164
Calhoun,P00273042,,F,51-55,54,0,Delhi,Central,Retail,Footwear & Shoes,,4,20620,,,1003635
Selesnick,P00162442,,F,26-35,33,0,Karnataka,Southern,Chemical,Footwear & Shoes,,4,20619,,,1001030
Parakh,P00317842,,F,26-35,30,0,Karnataka,Southern,Lawyer,Footwear & Shoes,,3,20615,,,1001029
Neola,P00180442,,F,26-35,29,0,Delhi,Central,IT Sector,Footwear & Shoes,,3,20608,,,1003311
Vaibhavi,P00100642,,F,26-35,27,1,Uttarakhand,Central,Media,Furniture,,4,20608,,,1003416
Cari,P00071442,,M,51-55,51,1,Haryana,Northern,Aviation,Furniture,,4,20607,,,1004573
Sink,P00100842,,M,36-45,43,1,Karnataka,Southern,Textile,Furniture,,1,20607,,,1004179
Geld,P00148042,,M,26-35,31,0,Maharashtra,Western,Healthcare,Tupperware,,1,20606,,,1005661
Martinez,P00227942,,M,55+,72,1,Uttar Pradesh,Central,Textile,Footwear & Shoes,,2,20603,,,1001736
Ameesha,P00120342,,F,36-45,39,0,Maharashtra,Western,IT Sector,Footwear & Shoes,,2,20602,,,1003401
Jamie,P00180642,,F,26-35,31,0,Karnataka,Southern,Aviation,Footwear & Shoes,,4,20600,,,1001835
McCarthy,P00193642,,M,36-45,42,1,Karnataka,Southern,Automobile,Footwear & Shoes,,1,20600,,,1002899
Chad,P00033942,,F,36-45,40,0,Delhi,Central,IT Sector,Footwear & Shoes,,1,20598,,,1002860
Prichep,P00015742,,F,26-35,26,1,Karnataka,Southern,Chemical,Footwear & Shoes,,3,20598,,,1004362
Lanier,P00296642,,F,26-35,27,0,Kerala,Southern,IT Sector,Tupperware,,3,20598,,,1001147
Sukrith,P00015542,,F,36-45,39,0,Kerala,Southern,Healthcare,Furniture,,3,20595.99,,,1004953
Elliston,P00112542,,F,18-25,25,1,Kerala,Southern,Banking,Furniture,,2,20594,,,1005884
Bergman,P00127942,,F,51-55,55,0,Madhya Pradesh,Central,Aviation,Footwear & Shoes,,2,20589,,,1002765
Arthur,P00157642,,F,26-35,29,0,Delhi,Central,Healthcare,Footwear & Shoes,,1,20588,,,1005140
Murray,P00265242,,F,46-50,50,1,Uttar Pradesh,Central,Banking,Furniture,,1,20588,,,1004161
Toch,P00250342,,F,26-35,30,0,Delhi,Central,Banking,Footwear & Shoes,,4,20586,,,1003697
Dahlen,P00115142,,M,26-35,31,1,Madhya Pradesh,Central,Banking,Furniture,,3,20586,,,1002041
Randy,P00274042,,F,26-35,34,1,Karnataka,Southern,Lawyer,Footwear & Shoes,,2,20581,,,1003726
Pradeep,P00249642,,F,26-35,33,1,Maharashtra,Western,Chemical,Footwear & Shoes,,2,20579,,,1001803
Aayushi,P00113442,,M,26-35,30,1,Karnataka,Southern,IT Sector,Furniture,,4,20573,,,1005814
Aparajita,P00120242,,F,26-35,29,0,Delhi,Central,Banking,Footwear & Shoes,,4,20572,,,1004901
Arsheen,P0096942,,F,46-50,49,0,Karnataka,Southern,Healthcare,Footwear & Shoes,,3,20570,,,1003958
Becky,P00249842,,F,26-35,34,0,Kerala,Southern,Healthcare,Furniture,,4,20570,,,1003563
Aniket,P00207742,,F,36-45,42,1,Maharashtra,Western,Govt,Tupperware,,3,20569,,,1002793
Gute,P00233542,,M,36-45,38,1,Delhi,Central,Textile,Footwear & Shoes,,3,20566,,,1003283
Gopal,P00184942,,M,36-45,26,1,Delhi,Central,Chemical,Footwear & Shoes,,4,20559,,,1001941
Soumya,P00032142,,F,26-35,28,1,Uttar Pradesh,Central,Banking,Furniture,,1,20558,,,1004279
Cathy,P00278642,,F,36-45,40,1,Delhi,Central,Media,Footwear & Shoes,,1,20553,,,1001181
Jason,P00211242,,M,51-55,54,0,Gujarat,Western,Construction,Furniture,,4,20550,,,1003211
Gjertsen,P00323042,,F,46-50,47,1,Delhi,Central,Aviation,Footwear & Shoes,,2,20549,,,1000216
Keshav,P00233442,,M,18-25,19,0,Bihar,Eastern,Aviation,Footwear & Shoes,,2,20548,,,1003618
Zydlo,P00153142,,F,36-45,41,0,Delhi,Central,Govt,Footwear & Shoes,,3,20547,,,1004354
Staavos,P00068042,,M,36-45,41,0,Karnataka,Southern,Healthcare,Furniture,,1,20546,,,1000793
Fein,P0099242,,F,18-25,24,0,Uttar Pradesh,Central,Healthcare,Footwear & Shoes,,4,20544,,,1003690
Aastha,P00118142,,F,18-25,23,0,Kerala,Southern,Hospitality,Furniture,,1,20543,,,1004122
Lloyd,P00344842,,F,18-25,25,0,Madhya Pradesh,Central,Govt,Furniture,,3,20540,,,1003503
Harshita,P00123142,,F,26-35,29,0,Delhi,Central,Media,Footwear & Shoes,,2,20537,,,1002852
Kirkland,P00036342,,M,26-35,34,0,Delhi,Central,Retail,Footwear & Shoes,,1,20536,,,1001004
Trafton,P00319042,,M,26-35,29,0,Haryana,Northern,Automobile,Footwear & Shoes,,4,20536,,,1000390
Shahid,P00127542,,F,26-35,26,0,Karnataka,Southern,Aviation,Footwear & Shoes,,2,20536,,,1003099
Dodson,P00127642,,F,55+,83,1,Madhya Pradesh,Central,Govt,Furniture,,1,20533,,,1002201
Redmond,P00193542,,F,51-55,55,0,Gujarat,Western,Aviation,Tupperware,,1,20529,,,1002271
Payne,P00153842,,F,36-45,37,1,Karnataka,Southern,IT Sector,Footwear & Shoes,,4,20525,,,1004327
Jamie,P00304942,,F,26-35,34,1,Delhi,Central,Chemical,Footwear & Shoes,,4,20516,,,1001835
Cousins,P00227942,,M,26-35,29,1,Andhra Pradesh,Southern,IT Sector,Footwear & Shoes,,4,20515,,,1003475
Eva,P00173342,,F,18-25,23,1,Uttar Pradesh,Central,Healthcare,Footwear & Shoes,,1,20512,,,1001613
Mary,P00277642,,F,51-55,51,1,Delhi,Central,Food Processing,Footwear & Shoes,,1,20511,,,1005680
Kennedy,P00346042,,F,36-45,39,1,Karnataka,Southern,Media,Footwear & Shoes,,1,20509,,,1004979
Swetha,P00269642,,F,36-45,41,1,Delhi,Central,Automobile,Footwear & Shoes,,1,20508,,,1004819
Maxwell,P00018042,,M,18-25,20,1,Telangana,Southern,Healthcare,Footwear & Shoes,,1,20508,,,1003580
Eno,P00295842,,F,51-55,52,0,Uttar Pradesh,Central,Aviation,Footwear & Shoes,,2,20508,,,1001861
Eugene,P00109742,,M,51-55,53,0,Andhra Pradesh,Southern,Food Processing,Footwear & Shoes,,4,20505,,,1001618
Sumeet,P00129842,,F,46-50,48,0,Delhi,Central,Aviation,Footwear & Shoes,,4,20503,,,1002330
